,N,P_m,P_c,Tournament Size,Total Solutions
0,25.0,0.01,0.5,5.0,58
1,25.0,0.03,0.5,5.0,1
2,50.0,0.01,0.1,4.0,1
3,50.0,0.01,0.3,4.0,2
4,50.0,0.01,0.3,5.0,47
5,50.0,0.01,0.5,3.0,2
6,50.0,0.01,0.5,5.0,20
7,50.0,0.03,0.1,4.0,5
8,50.0,0.03,0.3,5.0,6
9,50.0,0.03,0.5,5.0,1
10,50.0,0.05,0.5,5.0,1
11,75.0,0.01,0.1,4.0,2
12,75.0,0.01,0.3,5.0,8
13,75.0,0.01,0.5,4.0,143
14,75.0,0.01,0.5,5.0,1
15,75.0,0.03,0.1,4.0,1
16,75.0,0.03,0.1,5.0,1
17,75.0,0.03,0.3,5.0,2
18,75.0,0.03,0.5,4.0,3
19,75.0,0.03,0.5,5.0,7
20,75.0,0.05,0.3,5.0,1
21,100.0,0.01,0.0,5.0,3
22,100.0,0.01,0.3,4.0,31
23,100.0,0.01,0.3,5.0,3
24,100.0,0.01,0.5,3.0,10
25,100.0,0.01,0.5,4.0,11
26,100.0,0.01,0.5,5.0,26
27,100.0,0.03,0.1,4.0,2
28,100.0,0.03,0.1,5.0,12
29,100.0,0.03,0.3,5.0,15
30,100.0,0.03,0.5,4.0,1
31,100.0,0.03,0.5,5.0,88
